Identifior,HTMLTags,Mathformulas,Tables,CREOLEsupport,MarkdownSupport,TextileSupport,BBCodeSupport,EmoticonImages,SyntaxHighlighting,Footnotes,Quoting,InternalComments,Customstyles,FAQTags,Scripting,ContentIncludes,FeedAggregation
LionWiki,No,X3,X3,Yes,Yes,Yes,No,JavaScriptplugin,Yes,Yes,Yes,No,X3,X3,No,No,No
Oddmuse,X2,X3,X3,X2,No,Yes,X3,Perl,Yes,Yes,No,No,X3,X3,X3,Yes,X3
ErfurtWiki,X3,X3,X3,X3,Yes,Yes,Yes,Optional,X3,X3,No,Yes,X4,No,No,X2,No
Telepark_wiki,Yes,N_A,N_A,N_A,N_A,Yes,Yes,PHP,N_A,N_A,N_A,N_A,Yes,Yes,Yes,N_A,N_A
Pier,N_A,N_A,N_A,N_A,N_A,N_A,N_A,X4,X4,No,No,Yes,No,N_A,N_A,N_A,N_A
PAUX,Yes,Yes,Yes,Yes,Yes,Yes,Yes,JavaScriptNetReXX,X2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TrikiWiki,X3,No,No,No,No,Yes,No,CanbeaddedinlineinFCKeditor,Yes,No,No,No,No,No,X3,No,No
SharePointWikiPlus,Yes,X2,Yes,Yes,Yes,No,Javascript,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Swirrl,No,Yes,No,No,No,No,No,XHTML1_0Transitional,No,PrintView,No,No,No,No,No,No,No
JOTWiki,Yes,Yes,Yes,Regularhtmljavascript,X2,No,No,No,Yes,No,No,Yes,No,No,No,No,No
WiGit,No,Yes,Yes,No,No,No,N_A,No,No,No,N_A,No,No,No,No,No,Yes
Cospire,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Yes,No
WikiDoc,No,No,No,N_A,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
KWikiKWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PortiliTeamWiki,No,No,No,No,No,Yes,No,N_A,No,No,No,No,Yes,Yes,Yes,No,No
WikiASP,No,N_A,N_A,N_A,Yes,N_A,Yes,X4,N_A,N_A,Yes,Yes,N_A,N_A,N_A,Yes,N_A
Clearspace,Yes,No,X3,No,N_A,X3,X3,No,No,Yes,Yes,Yes,No,Yes,No,No,No
PmWiki,X3,X3,X3,X3,Yes,Yes,Yes,Plugin,Yes,X3,X3,Yes,X3,Yes,X3,Yes,Yes
BrainKeeper,N_A,Yes,Yes,Yes,HTML4,Yes,PrintCSS,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Ikiwiki,X3,X3,No,Yes,Yes,Yes,Yes,SafesubsetofHTMLTemplatesupportedviatemplateplugin,X3,X3,No,Yes,No,No,No,No,No
BLADEWiki,Yes,N_A,Yes,Yes,Yes,No,N_A,N_A,Yes,N_A,No,N_A,No,Yes,No,Yes,N_A
Wicked,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
CanvasWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,X3,Yes,No,Yes,Yes,Yes,Yes,YesviaRapidSelectorPluginsandmore,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Incentive,All,No,Simplecomplex,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,VBC,Yes,Yes
WalaWiki,No,No,No,N_A,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
WikiSH,No,N_A,No,No,No,No,No,No,No,No,No,No,No,No,No,HTML4,Yes
PhpWiki,No,X3,Yes,Yes,Yes,Yes,No,PluginstemplatesPHP,Yes,Yes,No,Yes,X2,Yes,X4,Yes,Yes
Sycamore,No,No,Yes,N_A,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
MicKI,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
PersonalPPCWiki,No,No,No,No,Yes,No,N_A,X2,No,No,Yes,No,Yes,No,No,No,No
Foswiki,X3,X3,X3,Yes,Yes,Yes,Yes,JavaScriptTopicMarkupLanguage,Yes,X3,X3,Yes,X3,X3,X3,Yes,Yes
LunaWiki,Yes,Yes,No,VirtualpageswritteninPHP,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
DrupalWiki,X3,X3,X3,Yes,Yes,Yes,X3,Widgets,Yes,Yes,X3,Yes,X3,Yes,Yes,Yes,Yes
VQWiki,No,Yes,No,No,No,Yes,No,OptionalmultiplescriptinglanguageswithBSHplugin,Yes,Yes,No,N_A,No,Yes,No,No,No
CodeBeamer,X3,No,Yes,Yes,Groovy_VelocityandverypowerfulAPI,Yes,Yes,Yes,No,Yes,Yes,No,X3,Yes,Yes,Yes,Yes
ProjectForum,No,No,No,No,No,Yes,No,N_A,Yes,Yes,No,Yes,No,Yes,Yes,No,No
JSPWiki,X3,X3,Yes,No,X3,Yes,No,PluginsforJavaScriptTCLandGroovy,Yes,X3,Yes,Yes,No,Yes,X3,Yes,X3
Wikepage,No,No,No,Yes,No,Yes,No,N_A,No,Yes,No,Yes,No,No,No,No,No
Luminotes,Some,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Wikispaces,Yes,Yes,Yes,Yes,Yes,No,Yes,XHTML1_0Transitional,Yes,PrintView,Yes,Yes,Yes,Yes,No,Yes,Yes
WikiCSharp_NET,Yes,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Yes,N_A,N_A,No,N_A,N_A
Instiki,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes
TWiki,Yes,X3,X3,Yes,Yes,Yes,Yes,TWikiMarkupLanguageTWikivariablesJavaScriptextensiveAPI,Yes,Yes,X3,Yes,X3,X3,Yes,Yes,Yes
TiddlyWiki,X3,X3,X3,Yes,Yes,Yes,X3,JavaScript,Yes,X3,X3,Yes,Yes,X3,X3,Yes,No
GitWiki,No,X3,X3,No,X3,Yes,No,XMLbasedJavascript,Yes,Yes,X3,Yes,No,X3,No,Yes,No
Wagn,All,No,Complex,No,No,No,No,No,X3,No,X2,No,Yes,No,WQL,Yes,X3
MoinMoin,Yes,Yes,Yes,No,Yes,Yes,No,Pluginsseecomment,Yes,No,No,Yes,Yes,Yes,Yes,X2,Yes
ScrewTurnWiki,No,No,No,No,Yes,Yes,No,N_A,Yes,X3,Yes,Yes,X2,Yes,Yes,No,Yes
ButorWiki,No,X2,X2,No,InternalMacros,N_A,N_A,N_A,No,No,Yes,No,No,Yes,No,No,N_A
Jacwiki,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
GeniusWiki,All,No,Simplecomplex,N_A,N_A,N_A,N_A,Yes,No,N_A,Yes,Yes,X2,N_A,N_A,Yes,Yes
Zwiki,X4,No,Yes,Yes,Yes,Yes,X2,DTML,Yes,X3,No,N_A,X4,No,X3,Yes,Yes
ProntoWiki,Yes,No,N_A,No,No,No,No,Yes,No,No,No,N_A,No,No,X2,No,No
ClearWiki,Yes,Yes,No,N_A,N_A,N_A,Yes,XHTML1_0Transitional,Yes,PrintView,N_A,No,Yes,No,No,Yes,N_A
WikiCrowd,No,No,Yes,Yes,No,No,No,PluginJavaScript,No,No,Yes,No,Yes,No,No,No,No
Giki,Yes,No,No,X3,No,No,No,X3,X3,No,No,X3,No,No,No,No,No
PicoWiki,No,No,No,XHTML1_0Transitional,No,N_A,No,No,No,No,Yes,Yes,Yes,No,No,X2,No
GeboGebo,No,No,No,No,Yes,X2,No,YespluginsinEASYorJSScript,Yes,X3,X2,N_A,No,Yes,No,Yes,No
Anwiki,X3,No,No,X3,N_A,Yes,N_A,JavascriptPHPscriptscanbeenabled,Yes,Yes,No,Yes,No,No,No,No,No
Springnote,Yes,N_A,Yes,Yes,Yes,N_A,XHTML1_1,Yes,PrintCSS,N_A,No,Yes,No,No,X3,Yes,Yes
WikyBlog,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
BoltWire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yesmultiplekinds,Yes,Yes,Yes,Yes,Yes,Yes,No,X3,Yes
Wikia,Yes,No,Yes,XHTML1_0Transitional,Yes,PrintCSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,X2,Yes,Yes
PageWork,No,Yes,Yes,Yes,Yes,X2,X3,N_A,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
Wetpaint,No,Yes,Yes,Yes,Yes,No,X3,N_A,Yes,PrintView,N_A,Yes,Yes,N_A,N_A,N_A,N_A
ZohoWiki,X3,Yes,N_A,N_A,N_A,N_A,N_A,HTML4,Yes,PrintCSS,N_A,Yes,Yes,N_A,N_A,Yes,N_A
IkeWiki,No,Yes,Yes,No,YesSPARQLandJRuby,Yes,Yes,No,No,Yes,Yes,X2,No,Yes,No,No,No
Riki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Yes,No,N_A,No,No,No,No,Yes
ConnectedText,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
TikiWikiCMSGroupware,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DynamicVariablesmoreinfo,Yes,Yes,Yes,Yes,Yes,Yes,X2,Yes,X4
Netcipia,Yes,Yes,No,No,No,No,No,XHTML1_0Strict,No,PrintView,No,Yes,Yes,No,No,Yes,No
X3FWiki,X2,Yes,Yes,No,Yes,Yes,Yes,N_A,Yes,X2,No,Yes,No,Yes,Yes,X2,Yes
FlexWiki,Yes,Yes,Yes,Yes,YesWikiTallk,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
WikiToolkit,N_A,X3,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Yes,X3,X3,N_A,N_A
CentralDesktop,Yes,Yes,No,No,Yes,Yes,X2,HTML4,Yes,PrintView,Yes,X2,Yes,Yes,Yes,Yes,Yes
MiniWiki,No,No,No,No,Yes,Yes,No,Macrolikelanguagewithbranchingandloops,Yes,No,No,No,No,Yes,No,No,No
MojoMojo,X3,Yes,Yes,Yes,Yes,Yes,No,JavaScript,Yes,X3,No,No,No,Yes,X4,Yes,No
JAMWiki,No,No,Yes,N_A,Yes,N_A,No,Mediawikitemplatesaresupported_,Yes,No,Yes,N_A,No,X2,No,No,Yes
Pimki,No,Yes,N_A,N_A,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No
Friki,No,N_A,No,No,No,No,No,No,N_A,No,Yes,No,No,No,Yes,No,N_A
Daisy,N_A,No,Yes,No,N_A,Yes,X2,X2,No,Yes,Yes,No,No,Yes,No,X2,No
CorendalWiki,No,No,No,No,No,No,No,N_A,No,No,No,N_A,No,No,Yes,Yes,No
Wikidot,No,Yes,Simplecomplex,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,CSSstylesembeddableJavaScriptreportinglanguage,Yes,Yes
Confluence,Optional,X3,Simplecomplex,No,No,Yes,No,Yes,Yes,X3,Yes,X3,Yes,Yes,MacrospluginswidgetsJavaScriptandmore,Yes,Yes
