Identifior,InternalLink,ExternalLink,Headlines,BoldFormat,ItalicsFormat,UnderlineFormat,MonospaceFormat,StrikethroughFormat,SuperscriptFormat,SubscriptFormat,Images,AligningText,TextIndentation,BulletedLists,NumberedLists,DefinitionLists,HorizontalRule
PBwiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
XoWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
JaWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PukiWiki,Strikethrough,N_A,N_A,Refpagename_filenameoptionrefpagename_filenameoptionrefhttp__foo_bar_foo_jpgoptionhttp__foo_bar_foo_jpg,CENTERcenterRIGHTrightLEFTleft,N_A,Item1Item1_1Item2,Item1Item1_1Item2,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiSpot,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Bitweaver,N_A,N_A,N_A,Imgsrchttp__foo_bar_foo_jpg,Centeredtext,N_A,Item1Item1_1Item2,Item1Item1_1Item2,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Gazest,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Gitit,Strikethrough,Super,Sub,Animagebutterfly_jpg,N_A,Blockquotation,Listlist,X1_list2_list,Termdefterm2def2,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
SamePage,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_,ThroughWYSIWYGEditor_Nosyntaxrequired_
EditMe,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ThoughtFarmer,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,Wysiwygrichtexteditor,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikkaWiki,Strikethroughtext,SupSuperscript_sup,SubSubscript_sub,Http__foo_bar_bar_jpgimageurllocal_jpgimageurlhttp__foo_bar_bar_jpg,Centertextleftfloatedrightfloated,X4spacesoracanreplaceatabindentedindented,X4spacesoracanreplaceatabItem1Item1_1Item2,X4spacesoracanreplaceatab1Item11Item1_11Item2moreoptionsforlistsareavailable,DldtCoffee_dtddBlackhotdrink_dddtMilk_dtddWhitecolddrink_dd_dl,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikionaStick,N_A,N_A,N_A,Imagewoas_png,N_A,N_A,Element1element2element3,Element1element2element3,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WxWikiServer,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MindTouch,WYSIWYGwithpagebrowsedialog_Orlinkand___foo_bar,WYSIWYGwithpagebrowsedialogautolinkingandhttp__foo_com,WYSIWYG,WYSIWYGctrlb,WYSIWYGctrli,WYSIWYGctrlu,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYGwithimagebrowseandeditdialog_Alsocopy_pastetoeditorandstraightHTML_,WYSIWYG,WYSIWYGtab,WYSIWYG,WYSIWYGctrll,WYSIWYG,WYSIWYG
DokuWiki,Delstrikethrough_del,Supsuperscript_sup,Subsubscript_sub,Local_jpghttp__foo_bar_baz_jpg,Plugin,No,Item1item1_1item2,Item1item1_1item2,Plugin,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
BusinessWiki,Alinkalinkwithtitle,Http__businesswiki_euThetitle,SectionSubsectionSubsubsection,Bold,Italic,Uunderlined_u,Ttmonospace_tt,Sstrikethrough_s,Supsuperscript_sup,Subsubscript_sub,Imagebwi_png,CenterCentered_center,Indentedline,Item1Item1_2Item2,Item1Item1_2Item2,Termdefinition,N_A
ProWiki,Strikestrikethroughtext,Suptext_sup,Subtext_sub,Http__example_org_file_jpgUploadfile_gifImage___options___,Onlyaspartoftablesorcitationsalignleftcenterright,Indentedlineindentedline,Bulletedlistbulletedlist,Numberedlistnumberedlist,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
UniWakka,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiNi,N_A,N_A,N_A,N_A,N_A,Spacelevel1spacespacelevel2spacespace___levelX,N_A,X111,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wiclear,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MediaWiki,Sstrikethrough_s,Supsuperscript_sup,Subsubscript_sub,Imagewiki_png,CenterCentered_center,Indentedline,Item1Item1_2Item2,Item1Item1_2Item2,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
KeheiWiki,InsertHTMLviaWYSIWYGeditor,InsertHTMLviaWYSIWYGeditor,InsertHTMLviaWYSIWYGeditor,InsertHTMLviaWYSIWYGeditor,PalignrightstufforinsertHTMLviaWYSIWYGeditor,Ulstuff_ulorinsertHTMLviaWYSIWYGeditor,TextortextorinsertHTMLviaWYSIWYGeditor,Digits_stufforinsertHTMLviaWYSIWYGeditor,TermdefinitionorinsertHTMLviaWYSIWYGeditor,CanuseplainHRtagorviaWYSIWYGeditor,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PodWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
XWiki,XWiki1_0syntaxStrikeXWiki2_0syntaxStrike,XWiki1_0syntaxsupsuperscript_supXWiki2_0syntaxsuperscript,XWiki1_0syntaxsubsubscript_subXWiki2_0syntaxsubscript,XWiki1_0syntaximageimg_pngimageimg_pngdocumentSpace_Pageimageimg_pngwidth25height25http__some_url_img_pngXWiki2_0syntaximageimg_pngimageSpace_Pageimg_pngimageimg_pngwidth25height25imagehttp__some_url_img_png,XWiki1_0syntaxdivalignrightcenterjustifyText_divXWiki2_0syntaxstyle___csshere___Text,XWiki1_0syntaxblockquotemultilinetext_blockquoteorusingCSSstylesXWiki2_0syntaxstyle___csshere___multilinetext,XWiki1_0syntaxListlistlistXWiki2_0syntaxListlistlist,XWiki1_0syntax1_Item111_Item2111_Item31_Item4XWiki2_0syntax1_Item111_Item2111_Item31_Item4Seehttp__tinyurl_com_awaw6a,XWiki1_0syntaxdldtTerm_dtddDefinition_dd_dlXWiki2_0syntaxtermdefinition,XWiki1_0SyntaxXWiki2_0Syntax,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Yawiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WackoWiki,Strikethrough,Superscript,Vvsubscriptvv,Image_pngfileimage_pnghttp__url_tld_image_png,Htmldivalignrighthtmlwackowrappertextwrapper_aligncentercontent,Onetwo,OneOnetwotwothree,X1_numberedList1_numberedList22_8numberedListwithbreak,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MetadotWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
LionWiki,Strikethrough,N_A,N_A,Path_to_img_jpg,N_A,N_A,FruitAppleGrannysmithGoldendeliciousOrangeVegetablesGarlicOnion,FirstitemFirstsubitemFirstsubsubitemSecondsubitemSeconditem,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Oddmuse,Noexampleknown,Noexampleknown,Noexampleknown,Http__example_com_pic_jpgoptionalimageNameTextURLandvariants,Noexampleknown,Optionalonetwo,Onetwo,Optionalonetwo,Optionaltermdefinition,Optional,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ErfurtWiki,Optionalorviacss,Superscripttext,Optionalorviacss,Linktotheimage_jpg,Optionalorviacss,Justuse3spacesortabsindentedtext,ItemAItemBItemB1,Item1Item1_1Item1_1aItem1_1b,Definitionexplanationanotherdefanotherdescription,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Telepark_wiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Pier,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PAUX,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TrikiWiki,OnlyinWYSIWIGEditor,OnlyinWYSIWIGEditor,OnlyinWYSIWIGEditor,AltTextimagefilename,OnlyinWYSIWIGEditor,OnlyinWYSIWIGEditor,MainSecondary,FirstFirst_First,OnlyinWYSIWIGEditor,OnlyinWYSIWIGEditor,N_A,N_A,N_A,N_A,N_A,N_A,N_A
SharePointWikiPlus,Supsuperscript_sup,Subsubscript_sub,ImageKWizComlogo_gifKWizComKnowledgeWorkerComponents,Divalignright,Blockquotemultilinetext_blockquote,Oneonetwotwothree,Oneonetwotwothree,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Swirrl,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
JOTWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WiGit,Superscript,Subscript,Image_jpg,Rightaligned,N_A,BulletedListSublist,NumberedListSublist,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Cospire,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiDoc,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
KWikiKWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PortiliTeamWiki,Userichtexteditortoolbar,Userichtexteditortoolbar,Userichtexteditortoolbar,Userichtexteditortoolbar,Userichtexteditortoolbar,Userichtexteditortoolbar,Userichtexteditortoolbar,Userichtexteditortoolbar,N_A,Userichtexteditortoolbar,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiASP,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Clearspace,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PmWiki,Strikethrough,Superscript,Subscript_,Http__foo_bar_foo_jpgAttachfoo_jpg,Centercenteredtextrightrightaligned,Indentedtext,Item1Item1_1Item2,Item1Item1_1Item2,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
BrainKeeper,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Ikiwiki,ViaHTMLdeldeleted_del,ViaHTMLxsup2_sup,ViaHTMLasub1_sub,Alttextinternal_imagealttexthttp__example_org_external_image,N_A,N_A,Item1item2item2_1item2_2,X1_item12_item21_item1_142_thevaluedoesntmatter1_anyvalueworks,ViaHTMLdldtterm_dtdddefinition_dd_dl,Anynumber3spacesdontmatter,N_A,N_A,N_A,N_A,N_A,N_A,N_A
BLADEWiki,Strikethroughtext,N_A,N_A,Image_jpg,N_A,Blockquotetext,Bulleted,Numbered,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wicked,N_A,N_A,Local_jpghttp__foo_bar_baz_jpghttp__foo_bar_baz_jpgAlttext,N_A,N_A,BulletoneSubbullet,NumerounoNumbertwoSubitem,Item1SomethingItem2Somethingelse,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
CanvasWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,N_A,N_A,N_A,WYSIWYGImageInsertToolorHTMLintextonlyeditor_Imagescanbelocalattachedorremote_Whencopyingfromwebsitescopy_pastefrombrowsertotheWYSIWYGeditor_Tractionserverwillattachandlocallyreferencetheimage_,LeftMiddleRightAlignmentcontrolsperparagraphortablecell_,WYSIWYGeditorselectionorHTMLintextonlyeditor_,WYSIWYGeditorselectionorHTMLintextonlyeditor_,WYSIWYGeditorselectionorHTMLintextonlyeditor_,WYSIWYGeditorselectionorHTMLintextonlyeditor_,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Incentive,Wiki_articlename_blog_blogname_post_postname,Www_incentivelive_com,H1Header1_h1h2Header2_h2h3Header37h3,AllbelowisstandardXHTMLnoplightwikisyntaxNoneedtoknowthemeitherjustusetheWYSIWYGeditor_,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WalaWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiSH,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PhpWiki,Strikestrikedthrough_strike,Supabove_sup,Subbelow_sub,Http__foo_org_1_jpgsize30externalimageUploadview_jpgalignrightsize50x40viewuploadedimageUploadview_jpghttp__server_externallinkjpgviewandlinktoanotherimage,PluginRawHtmlspanalignrightrightpluginRawHtml_spanordivalignrightright_div,Leftindentmoreleftindentorparagraphandanotherlevel,Listorlist,List,Termdefdef,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Sycamore,XstrikethroughtextX,Superscripttext,Subscripttext,Imagefile_pngImagefile_pngrightnoborderthumbnail300,Centeredtext,Normaltextindentedtextmoreindentedtext,ItemoneItemtwosublistitem,X1_Itemone2_Itemtwo,Termanditsdefinition,Greaterthanthreedashes,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MicKI,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PersonalPPCWiki,N_A,N_A,Imagename,N_A,Indent1Ident2,Bullet1SubBullet,NumberList1SubNumberList,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Foswiki,Strikestrikethrough_strike,Supsuperscript_sup,Subsubscript_sub,ATTACHURL_image_pnghttp__any_domain_image_pngIMAGeimage_png,LeftcenterrightorHTMLorCSS,Blockquotemultilinetext_blockquote,Item1Item1_1Item2,X1_Item1a_Item1_a1_Item2,TermDefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
LunaWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
DrupalWiki,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,IntegratedintotheWYSIWYGEditor,N_A,N_A,N_A,N_A,N_A,N_A,N_A
VQWiki,Supportedstartingrelease3_0,Superscriptedtext,Subscriptedtext,Attachement,No,No,Level1Level1_1Level2,Level1Level1_1Level2,Supportedstartingrelease3_0,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
CodeBeamer,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ProjectForum,N_A,N_A,N_A,Imagehttp______foo_gifimage12345,N_A,N_A,Oneoneaonebtwo,Oneoneaonebtwo,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
JSPWiki,Textdecorationlinethroughdeletedtext,Verticalalignsuptext,Verticalalignsubtext,Local_jpgImagesrclocal_jpgImagesrchttp__foo_bar_foo_jpg,Textalignrighttext,Textindent20px20pixelstextindent3030percent,Item1Item1_1Item2,Item1Item1_1Item2,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wikepage,No,No,No,Image_gifhttp__externalimage_com_image_gif,No,No,Bullet1Bullet2,No,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Luminotes,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wikispaces,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiCSharp_NET,Strike,N_A,N_A,Imagefile,N_A,N_A,List1list2,List1list2,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Instiki,Delstrikethrough_delstrikethroughstyletextdecorationlinethrough,Supsuperscript_sup,Subsubscript_sub,Alttexthttp__ex_com_image_jpgimage_jpgalttextpic,Pstyletextalignleftpstyletextalignrightpstyletextaligncenterpstyletextalignjustify,Pstylemarginleft3emblockquote,Item1Item1_1Item2,X1_Item11_Item1_12_Item2,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TWiki,Strikestrikethrough_strike,Supsuperscript_sup,Subsubscript_sub,ATTACHURL_image_pnghttp__any_domain_image_png,LeftcenterrightorHTMLorCSS,Blockquotemultilinetext_blockquote,Item1Item1_1Item2,X1_Item1a_Item1_a1_Item2,TermDefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TiddlyWiki,Strikethrough,Superscript,Subscript,Imglocal_jpgimghttp__foo_bar_foo_jpg,Usingcustomclassese_g_righttext,Quoteblockquote,Item1Item1_1Item2,Item1Item1_1Item2,Termdescription,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
GitWiki,Sstrikethrough_s,Supsuperscript_sup,Subsubscript_sub,Image_png,N_A,N_A,Item1Item1_2Item2,Item1Item1_2Item2,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wagn,Pagetext,Http__page_comtext,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MoinMoin,Strikethrough,Superscript,Subscript,Http__foo_bar_foo_jpgattachmentfoo_jpgalttexttargetaltparams,Onlyintablesleftmiddleright,Indentedtext,Item1Item1_1Item2,X1_Item1a_Item1_a1_Item2,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ScrewTurnWiki,Strike,Supsuperscript_sup,Subsubscript_sub,Imageurlimageurllinkimageleft_righturllink,N_A,SingleindentationDoubleindentation___,ElementElementthatspansmultiplelines,ElementElementthatspansmultiplelines,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ButorWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Jacwiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
GeniusWiki,Viewlinkanchor,Viewlinkanchorextspace,H1_Headoneh2_Headtwo,Bold,Italics,Underline_,N_A,Strikethrough,Sup,Sub__,Image_jpgleftsmall,Alignaligncentertextalign,Quotequotequote,Unorderedlist1,Orderlist1,I_orderlist1,N_A
Zwiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ProntoWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ClearWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiCrowd,No,Superscript,Subscript_,Imgurl,No,No,ListitemRedGreenBlue,No,No,No,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Giki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PicoWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
GeboGebo,Striketext,Superscriptedtext,Subscriptedtext,Imgmypicture_png,N_A,Linesbeginningwith2blanks,Item1item1_1item2,Item1item1_1item2,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Anwiki,Delstrikethrough_del,SupAnwiki_sup,SubAnwiki_sub,Imgsrc_,Centeranwiki_center,N_A,Ulliitem_liliitem_li_ul,Olliitem_liliitem_li_ol,Dldtitem_dtdtitem_dt_dl,Hr_,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Springnote,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikyBlog,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
BoltWire,Strikestrike_strike,Superscriptsupsuperscript_sup,Subsubscript_sub,Imgimage_gifimage_gifparameters,Centertext_centerrighttext_rightlefttext_left,Text,Item1Item1_1Item2,Item1Item1_1Item2,Dldtdd,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wikia,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PageWork,Thisisnotimportant_,A2b2c2,Pnxnynyn,Imageimage_file_suffiximageimage_file_suffixalternatetextfigureimage_file_suffixfigureimage_file_suffixcaptiontext,Palignlefttextofparagraphpaligncentertextofparagraphpalignrighttextofparagraph,L1quoteL2quote,Onetwotwoalphatwobetathree,Onetwotwoalphatwobetathree,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Wetpaint,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ZohoWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
IkeWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Riki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
ConnectedText,Strikethrough,Superscript,VvSubscriptvv,IMGImage_jpeg,Centeredtext,FirstlevelofindentingSecondlevel,FirstitemSeconditem,X1_Firstitem1_Seconditem,TermDefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
