Name;IP SLA Reports;Logical Grouping;Trending;Trend Prediction;Auto Discovery;Agent;SNMP;Syslog;Plugins;Triggers / Alerts;Distributed Monitoring;Inventory;Maps;Access Control;IPv6;WebApp;License;Data Storage Method
Munin;No;No;Yes;Yes;No;Yes;Yes;No;Yes;Partial;;;;;Yes;Viewing;GPL;RRDtool
Nagios;plugin;Yes;Yes;No;plugin;Yes;plugin;plugin;Yes;Yes;Yes;plugin;Yes;Yes;Yes;Yes;GPL;Flat file, SQL
NagiosXI;plugin;Yes;Yes;No;plugin;Yes;plugin;plugin;Yes;Yes;Yes;plugin;Yes;Yes;Yes;Full Control;Commercial;MySQL, PostgreSQL
NetMRG;Yes;Yes;Yes;Yes;plugin;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Full control;GPL;RRDtool, MySQL
NetQoS Performance Center;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Viewing, Acknowledging, Reporting;Commercial;Yes
Network Instruments Observer Infrastructure;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Commercial;Proprietary Database
NetXMS;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Full Control;GPL;MySQL, MS SQL, Oracle, PostgreSQL, SQLite
Nimsoft Monitoring Solution;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Viewing, Acknowledging, Reporting;Commercial;SQL
Observium;No;No;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Full Control;GPLv3;RRDtool, MySQL
OpenKBM;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Commercial;Proprietary with JDBC support
OpenNMS;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;GPLv3;JRobin, PostgreSQL
OPNET's AppResponse Xpert;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;;Viewing, Acknowledging, Reporting;Commercial;Yes
Opsview;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Full Control;GPL;SQL
PacketTrap;No;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;;;Viewing, Reporting;Commercial;SQL
Pandora FMS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;GPLv2;MySQL, PostgreSQL, Oracle
Performance Co-Pilot;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;No;No;No;;No;GPL, LGPL;Flat file
PRTG Network Monitor;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Freeware, Commercial;Proprietary
Scrutinizer;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Viewing, Acknowledging, Reporting;Limited free, Commercial;MySQL
ServersCheck;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;Full Control;Commercial;Flat file, ODBC
SevOne;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;;Yes;Yes;Yes;Full Control;Commercial;MySQL
Orion;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Commercial;SQL
Shinken;plugin;Yes;Yes;No;plugin;Yes;plugin;plugin;Yes;Yes;Yes;plugin;Yes;No;;Viewing, Acknowledging, Reporting;AGPL;Flat file, MySQL, Oracle, CouchDB, Sqlite
Spiceworks;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Full Control;Commercial;Sqlite
TclMon;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Viewing;BSD;RRDTool
Verax NMS;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;Full Control;Commercial;Oracle, MySQL
WhatsUpGold;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Commercial;SQL
Xymon/Hobbit;Yes;Yes;Yes;No;No;Yes;plugin;No;Yes;Yes;Yes;No;No;Apache ACL;No;Viewing, Acknowledging;GPL;Flat file
Zabbix;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;GPL;Oracle, MySQL, PostgreSQL, IBM DB2, SQLite
Zenoss;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;GPL;ZODB, MySQL, RRDtool
Zyrion Traverse;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Full Control;Commercial;SQL
