Identifior,FileAttachments,MediaRevisions,EmbeddedFlash,EmbeddedVideo,ImageEditing,SVGEditing,MindMapEditing,MediaSearch
MindTouch,Yes,Yes,Yes,Yes,Yes,No,Yes,Contents
DokuWiki,Filenamesonly,X3,X3,No,X3,No,ALinknamespacelinklinkWithaTitle,Http__example_comhttp__example_comWithaTitle
BusinessWiki,Yes,Yes,Yes,Yes,No,No,X2,Contents
ProWiki,No,Yes,No,No,Yes,No,CamelCaseWordlinkingfreelinkpagelabelforlink,Http__example_orgInterWikipagesomelinklabelforlink
UniWakka,Strike,Superscript,Subscript,Http__foo_bar_bar_jpgimageurllocal_jpgimageurlhttp__foo_bar_bar_jpg,Center,Tabsor4whitespacesequencesfordifferenetlevelofindentation,Tabsor4whitespacesequencesfordifferenetlevelfistlevelsecondfirst,Tabsor4whitespacesequencesfordifferenetlevel1fistlevel1second1first
WikiNi,No,N_A,N_A,N_A,N_A,N_A,WikiwordXxxXxxxxx,N_A
Wiclear,Italic,N_A,Thetextmustbeprecededby2spacesanditwillbepreformatted,N_A,N_A,N_A,Imagetitleleftlongerdescription100100,N_A
MediaWiki,Keywords,X3,Yes,X3,No,No,Alinkalinkwithtitle,Http__example_orgThetitle
KeheiWiki,Keywords,No,No,Yes,Yes,No,Topicconfigurableorlinktopictext_linkoruseHTMLinrichtexteditor,Http__gmail_com_orexternhttp__gmail_comamailserver_externoruseHTMLinrichtexteditor
PodWiki,Viahtmlonly,Putaspaceinfrontofmonospacedtext,Viahtmlonly,Viahtmlonly,Viahtmlonly,Glogo_png,Viastylesheetonly,Viastylesheetonly
XWiki,Contents,X3,X3,X3,Yes,X3,XWiki1_0syntaxtextSpace_PagetextSpace_PageSpace_PageSpaceisoptionalandisthecurrentspaceifnotspecifiedXWiki2_0syntaxwikisyntaxhereSpace_PageSpace_PageSpaceisoptionalandisthecurrentspaceifnotspecified,XWiki1_0syntaxtexthttp__www_xwiki_comtexthttp__www_xwiki_comlhttp__www_xwiki_comXWiki2_0syntaxwikisyntaxherehttp__www_xwiki_comhttp__www_xwiki_com
Yawiki,Italic__italic__,Underline_,Source_source,N_A,N_A,N_A,Imgpathtoimage,N_A
WackoWiki,Contents,X3,X3,No,X3,No,InternalLinkInternalLinkInternalLinkalternatetextCamelCase,Http__wackowiki_orghttp__wackowiki_orgWackoWikiWikipediaWackoWiki
