Identifior,StorageQuota,BandwidthQuota,OtherLimits,TopicRestrictions,CorporateBranding,OwnDomain,Adsallowed
BoltWire,WindowsMacUnixetc_,No,AnywithPHPsupport,No,Yes,No,No
Wikia,Yes,Yes,Yes,Yes,X2,Yes,X2
PageWork,Any,No,Any,DBAwithbdborqdbmsupport,Yes,No,No
Wetpaint,Yes,Yes,Yes,N_A,Yes,N_A,Yes
ZohoWiki,Yes,Yes,N_A,N_A,X2,Yes,Yes
IkeWiki,All_Java,No,Tomcat,PostgreSQL,No,No,Yes
Riki,WindowsLinuxMac,N_A,Apachelighttp,Database,N_A,Yes,Yes
ConnectedText,Windows,No,Noneed,No,Yes,No,No
TikiWikiCMSGroupware,LinuxFreeBSDWindowsMacOSXandprobablyothers,No,Worksonstandardsharedhosting,No,No,Yes,No
Netcipia,Yes,Yes,No,No,No,No,Yes
X3FWiki,WindowsLinuxandMacOSX,No,Apache2_x,IODBCunixODBCWindowsODBC,No,Yes,Yes
FlexWiki,WindowsXPVistaServer2003or2008LINUX,Yes,IISASP_NETAPACHEMONO,No,Yes,No,No
WikiToolkit,AnythingthatrunsPerl,No,AnythingwithCGIsupport,N_A,No,Yes,Yes
CentralDesktop,Yes,No,No,N_A,No,N_A,Yes
MiniWiki,Unix_Linux,No,Apache,N_A,Yes,Yes,No
MojoMojo,AnyOSthatrunsPerl,No,Hasitsownservercanrunwithanywebserver,Catalyst,N_A,Yes,Yes
JAMWiki,AnyOSsupportingJava5orgreater,N_A,AnyapplicationserversupportingJavaservlet2_4orgreater,N_A,No,Yes,Yes
Pimki,Any,No,WEBrick_Mongrel_LigHTTP_Apache,Ruby1_8_4,No,Yes,Yes
Friki,AnythatcanrunJava1_3orlater,No,AnythatcanrunorcallJava,Java1_3orlater,Yes,No,No
Daisy,AnyJavabased,Yes,Any,MySQLPostgreSQL,Yes,Yes,X2
CorendalWiki,Unix_Windows,No,ApacheTomcatOracleApplicationServer,Java5_0,No,Yes,No
Wikidot,X1500MBforfreeusersmoreforProaccounts,Nolimit,Maxuploadedfilesizelimit,ByTermsOfService,Yes,Yes,Yes
Confluence,X10to100GB,X100GB_month,No,No,Yes,X2,Yes
