Name;Customer Testimonials;Featured Products;Glossary;Image Enlarge;Mini Cart;Multiple Addresses;Newest Products;Newsletter;News;Next_Previous Product Links;Polls;Popular Products;Printer Friendly Printing;Product Image Attaching;Product Rating;Product Reviews;Quotes;Reordering;Returns;Searching;Search as you Type;Search Cloud;Site Map;Social Bookmarking;Tell a Friend;Wish List
eCommerce Framework G5 (ECF);;Yes;Yes;;;No;No;;Yes;Yes;Yes;;Yes;;No;;Yes;Yes;;;;No;;No;;Yes
Ecommerce Shopping Cart Software;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;No;Yes;No;Yes;Yes
Ecommerce Templates;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;Yes;Yes;No;No;No;Yes;No
Flying Cart;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No
Fortune3;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes
Go Ecommerce;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;Yes;Yes
Interspire Shopping Cart;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes
iScripts Multicart;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No
JadaSite;Yes;Yes;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;Yes;No;No
JShop Server;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes
k-eCommerce;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
KonaKart;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes
LiteCommerce;Drupal;Yes;No;Yes;Yes;No;No;Drupal;Drupal;No;Drupal;Yes;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;Yes
LiveCart;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Module (paid);No;Yes;No;No;Yes
Magento;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ePages;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;3rd party Module (price varies);Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
nopCommerce;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes
OpenCart;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;3rd party Module (price varies);Yes;3rd party Module (price varies);Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
osCommerce;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;No
OXID eShop;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;Yes;Yes;Yes
PDshop;No;;Yes;;;;No;Yes;;Yes;;;No;;;Yes;;Yes;;;;No;Yes;;;No
PhPepperShop;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;Yes;No
Pinnacle Cart;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
PrestaShop;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ProductCart;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
SearchFit;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
SEOshop;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ShopCMS;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No
Shopping Cart Gold;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;Yes;No
ShoppingCart.ORG;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No
Shopify;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;3rd party Module (price varies);3rd party Module (price varies);Yes;Yes;Yes;Yes
Shopizer;Yes;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No
ShopSite;Yes;No;;;Yes;Yes;;Yes;Yes;Yes;No;;Yes;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes
SunShop;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;Yes;Yes
Superia Commerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
TomatoCart;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes
TOUGHCartz;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
Usercart 8 Infinity;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;Yes;No
VirtueMart for Joomla!;;Yes;;Yes;;No;No;;;Yes;Yes;;No;Yes;Yes;Yes;;No;;;Yes;No;;;No;No
Volusion;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
VP-ASP Shopping Cart;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
WebAsyst Shop-Script;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No
X-Cart;Yes;Yes;Yes;Yes;Yes;Yes;3rd party Module (price varies);Yes;Yes;3rd party Module (price varies);Yes;Yes;Yes;Yes;Yes;Yes;3rd party Module (price varies);3rd party Module (price varies);Yes;Yes;3rd party Module (price varies);3rd party Module (price varies);Yes;3rd party Module (price varies);Yes;Yes
xrow E-Commerce;Yes;Yes;No;Yes;Yes;Yes;Yes;eZ Newsletter;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes
Zen Cart;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;No
Zeus Cart;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
